Soil_Texture,Soil_Moisture_%,Bulk_Density_g_cm3,Porosity_%,Water_Holding_Capacity_%,pH_Level,Electrical_Conductivity_dS_m,Organic_Carbon_%,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Sulfur_mg_kg,Calcium_mg_kg,Magnesium_mg_kg,Temperature_C,Rainfall_mm,Humidity_%,Solar_Radiation_W_m2,Recommended_Crop,Soil_Health_Score
Clayey,32.7,1.61,30.46,34.39,8.18,1.92,2.24,346.16,35.06,241.02,53.32,352.38,478.19,14.88,1221.17,34.4,482.66,Sugarcane,55.51116228
Clayey,15.15,1.34,44.74,46.69,5.38,1.35,3.28,172.3,33.24,367.79,34.33,1692.99,254.99,28.34,403.76,42.06,233.73,Millets,66.67032156
Clayey,8.72,1.77,39.99,24.58,8.11,2.02,2.79,424.89,14.31,292.7,16.51,1210.51,468.91,16.71,719.85,62.39,219.31,Rice,61.06929731
Sandy,7.21,1.44,47.42,10.96,6.25,1.81,2.44,104.47,18.85,192.15,52.78,604.71,314.19,34.51,455.5,50.57,649.64,Peanuts,27.34353327
Loamy,12.3,1.56,31.33,44.05,5.27,0.25,1.21,298.6,32.59,383.63,36.77,1415.88,56.86,11.37,209.44,41.11,506.87,Millets,52.833485
Sandy,27.35,1.57,32.73,18.82,7.81,1.52,1.74,51.88,9.1,348.46,23.81,1685.98,175.21,17.06,595.34,30.15,413.1,Millets,26.67998126
Clayey,22.24,1.71,47.88,21.87,4.6,2.3,2.26,233.37,46.63,332.35,6.7,931.77,87.2,12.46,943.09,32.96,607.14,Corn,54.11235604
Loamy,10.98,1.3,38.77,31.84,8.33,1.17,2.52,61.56,21.47,338.42,19.53,1232.13,483.49,16.02,953.75,51.83,733.63,Millets,45.35935327
Loamy,34.87,1.35,32.88,37.14,7.12,2.19,1.9,285.13,23.95,278.31,14.93,1130.05,388.38,28.6,933.04,78.77,103.35,Wheat,55.02679644
Loamy,5.57,1.18,35.43,18.67,8.33,0.38,2.25,386.32,30.96,224.1,54.49,1279.1,309.99,38.45,524.07,73.66,167.46,Millets,48.838013
Loamy,27.55,1.18,37.68,49.31,5.57,0.23,0.82,498.97,24.3,375.21,16.44,177.45,394.36,16.86,1235.11,73.8,712.16,Millets,64.04734635
Loamy,16.51,1.56,37.82,47.65,5.6,0.15,0.54,162.14,22.02,174.04,40.84,1815.64,417.47,30.47,516.49,44.88,193.37,Millets,41.61403348
Clayey,35.49,1.11,37.31,15.38,6.67,1.94,1.47,87.21,12.14,140.67,12.55,1150.94,60.32,24.56,730.2,70.84,505.71,Millets,11.90942769
Sandy,14.95,1.8,47.82,41.31,5.58,0.14,1.48,352.12,30.3,205.2,47.34,613.78,65.07,13.41,749.09,84.03,354.74,Millets,46.85068564
Sandy,30.79,1.37,47.01,11.36,6.82,2.04,3.33,470.07,48.53,241.97,37.51,1486.3,431.4,15.38,870.44,88.06,512.73,Vegetables,79.0388818
Clayey,34.78,1.37,39.58,24.1,6.06,0.72,2.01,225.3,36.66,316.52,13.39,1920.04,232.28,15.46,1287.93,46.07,687.11,Sugarcane,54.88297026
Clayey,5.72,1.5,32.43,46.39,5.07,0.11,3.06,344.79,13.28,227.46,29.11,1883.83,191.8,36.87,1120.53,75.63,629.88,Vegetables,49.74211786
Loamy,36.11,1.52,34.08,11.21,7.57,0.72,3.23,473.87,26.54,168.12,48.72,1902.34,324.11,35.49,481.64,42.36,534.27,Vegetables,55.52355343
Clayey,19.17,1.54,31.83,18.91,4.62,2.31,2.68,229.44,39.78,60.12,11.25,1410.93,248.55,39.15,1341.17,72.19,496.52,Millets,34.60708049
Sandy,32.6,1.18,34.19,16.65,4.76,1.13,3.2,114.86,24.89,347.9,6.91,878.41,437.31,21.6,851.84,61.77,138.47,Peanuts,39.11409006
Loamy,8.36,1.19,38.26,15.68,5.73,0.18,1.68,356.31,46.56,228.7,38.31,150.81,465.55,12.37,979.34,86.22,683.44,Millets,49.68817744
Sandy,19.46,1.16,45.02,47.47,7,2.46,2.57,227.04,12.76,333.88,39.8,1273.44,361.34,34.36,487.04,67.55,779.98,Millets,61.42545238
Loamy,20.36,1.25,30.25,44.95,7.26,1.5,1.09,481.15,44.83,209.99,15.45,1666.88,65.38,11.4,964.99,39.17,114.58,Wheat,65.15247507
Sandy,11.71,1.33,48.61,36.23,4.52,1.06,0.82,401.18,25.08,220.38,6.25,1012.35,369.1,20.97,309.37,55.43,732.27,Millets,52.74482811
Sandy,17.36,1.4,38.62,35.96,5.99,0.34,1.52,335.56,13.57,306.26,19.16,1891.38,282.83,25.86,454.57,65.46,105.66,Millets,52.49975001
Loamy,18.01,1.49,47.18,10.31,6.83,0.78,2.46,108.42,14.27,115.61,44.47,1610.07,251.44,19.19,335.93,36.8,232.97,Millets,25.14901698
Clayey,39.68,1.36,43.63,11.65,6.23,2.26,0.87,251.56,39.15,78.2,10.7,1032.26,466.2,14.73,1253.34,30.23,362.24,Sugarcane,39.61092125
Loamy,16.45,1.64,41.53,23.36,5.75,2.1,1.24,347.61,5.94,336.14,47.7,1748.23,366.82,10.07,1458.91,48.05,536.25,Millets,50.72418123
Clayey,37.9,1.59,39.39,34.82,5.94,1.92,1.31,497.58,13.07,205.83,44.51,1926.09,295.45,17.96,1407.78,84.96,335.72,Sugarcane,58.13061474
Clayey,13.51,1.47,46.53,20.49,7.89,1.1,1.32,359.32,16.35,194.93,41.51,429.44,391.85,20.13,1074.33,33.34,101.83,Millets,40.22865896
Clayey,27.15,1.5,31.87,21.99,6.68,2.46,1.14,375.05,39.28,255.2,29.87,1808.69,154.53,24.7,1271.68,58.72,602.99,Millets,56.11195729
Clayey,8.86,1.15,43.93,24.56,5.49,1.13,1.37,461.27,19.97,346.23,22.66,397.79,381.7,26,1314.07,88.66,770.84,Millets,55.13508724
Sandy,5.92,1.31,49.59,40.82,7.91,1.4,0.99,403.04,24.71,340.44,48.36,562.67,128.6,38.34,227.46,64.15,645.95,Millets,57.86298353
Sandy,18.3,1.42,30.61,28.28,6.46,0.47,1.94,105.67,39.38,330.3,52.17,730.43,306.07,27.34,463.17,46.23,661.71,Peanuts,42.62837969
Clayey,22.81,1.61,45.42,16.2,5.08,1.28,3.44,480.46,48.71,242.79,38.66,508.84,472.9,35.13,1234.34,51.96,573.75,Vegetables,71.1479044
Clayey,16.96,1.57,38.54,22.97,7,1.14,1.93,428.55,25.51,173.44,38.27,241.52,223.5,39.87,1231.84,52.49,477.7,Millets,43.80616321
Loamy,37.65,1.32,46.69,35.17,5.49,1.79,3.45,153.94,31.38,97.57,25.56,305.15,103.15,33.79,1333.1,35.91,562.6,Sugarcane,33.38900956
Loamy,17.32,1.53,34.15,41.05,4.89,1.27,0.91,184.77,6.1,283.81,44.97,179.19,102.71,39.43,212.08,79.51,306.08,Millets,20.35049257
Loamy,20.32,1.36,34.76,10.45,7.51,1.96,1.93,302.14,34.87,180.78,32.63,215.72,404.95,37.12,1138.68,45.37,450.87,Millets,39.21374593
Loamy,34.91,1.59,31.35,29.84,4.52,2.45,1.34,474.94,45.13,308.04,35.11,1789.86,177.77,37.3,1161.98,55.35,386.33,Sugarcane,66.79677342
Loamy,35.13,1.44,41.75,37,6.44,2.45,3.12,327.43,44.88,393.12,34.57,1899.66,325.88,12.35,452.12,66.59,204.53,Vegetables,84.98501156
Loamy,16.52,1.67,49.25,45.77,6.55,0.97,1.09,448.86,7.32,231.95,33.19,237.79,311.61,34.08,864.81,36.3,617.38,Wheat,51.39757029
Loamy,21.63,1.69,45.89,15.31,5.06,0.17,2.28,394.84,21.82,244.03,39.57,1456.67,95.12,21.15,911.96,51.36,475.43,Millets,44.07950323
Clayey,15.68,1.69,32.31,28.14,8.24,1.7,2.18,392.32,11.34,281.75,14,448.27,92.44,28.52,693.97,44.42,378.69,Rice,37.6899788
Clayey,33.05,1.3,32.19,46.09,6.39,2.19,3.19,180.41,44.66,183.39,20.5,995.75,274.36,32.6,419.02,53.9,620.86,Millets,55.46998013
Clayey,10.47,1.28,33.17,30.63,8.44,1.9,2.09,274.97,38.3,354.69,10.3,1073.92,398.13,23.93,498.59,87.8,188.92,Rice,60.29827861
Sandy,22.87,1.17,47.06,17.19,4.51,0.49,2.66,449.34,46.58,173.2,10.2,1231.34,459.27,39.2,259.46,47.6,594.16,Vegetables,63.47408387
Loamy,19.03,1.22,31.41,22.81,6.35,2.3,0.56,184.36,30.05,176.47,45.79,1847.76,106.15,13,1446.43,80.87,550.87,Millets,31.51239089
Sandy,18.41,1.48,40.35,14.99,7.48,1.92,0.43,319.41,43.42,292.69,5.79,829.95,225.88,38.74,521.83,84.23,571.21,Millets,49.94866994
Loamy,17.72,1.33,36.19,47.12,8.3,2,1.11,376.61,39.65,156.24,43.82,1663.23,493.68,16.71,437.49,66.27,799.27,Millets,66.19313205
Sandy,21.34,1.42,49.37,45.8,5.82,1.29,0.82,462.63,43.09,363.27,31.15,281.73,499.83,31.54,796.62,55.93,249.4,Corn,79.99637799
Clayey,37.76,1.22,36.22,27.67,5.35,1.48,0.61,119.24,12.4,356.02,35.82,802.1,251.54,34.77,588.24,69.76,316.29,Millets,27.38149622
Loamy,34.63,1.59,30.81,43,5.55,1.06,3.01,376.59,41.74,253.04,39.87,697.85,472.54,20.58,464.02,51.03,231.95,Vegetables,67.1847288
Sandy,18.6,1.58,35.2,49.09,8.13,0.12,0.73,375.05,34.61,360.27,8.16,100.7,347.47,17.21,945.21,30.49,611.93,Millets,59.14696803
Clayey,8.82,1.28,40.64,20.11,8.23,0.54,0.94,375.67,33.4,236.91,33.91,1101.12,194.9,15.83,1067.47,86.24,643.17,Millets,45.27278696
Loamy,39.46,1.61,37.52,10.23,6.31,0.15,2.44,367.28,33.2,122.67,10.42,751.16,379.59,22.64,376.33,58.05,408.43,Millets,41.31630537
Clayey,26.61,1.29,36.78,25.29,8.43,0.21,1.25,153.55,25.36,336.57,24.05,412.86,285.85,17.34,1060.22,83.71,658.9,Rice,32.83039531
Sandy,11.38,1.74,33.47,11.79,6.56,0.15,3.21,67.97,41.64,85.13,32.47,966.07,466.14,30.27,371.75,52.24,124.25,Millets,31.63211746
Sandy,36.72,1.33,32.01,35.53,5.3,2.29,2.65,425.87,13.34,185.09,12.72,1963.5,406.09,28.86,304.9,73.94,149.86,Vegetables,55.99091308
Loamy,38.64,1.56,39.8,19.8,5.19,2.28,0.48,492.65,26.33,117.24,17.07,1935.54,397.04,39.13,357.75,43.29,163.71,Millets,51.98392593
Loamy,12.04,1.4,48.14,35.28,6.25,1.63,2.18,214.06,16.62,226.56,39.43,293.18,442.81,37.59,286.95,56.34,715.46,Millets,44.4986558
Sandy,15.54,1.69,32.17,38.94,5.32,0.81,2.06,162.57,35.54,276.66,34.45,290.23,477.11,10.07,327.15,89.65,241.88,Peanuts,45.87893812
Clayey,22.93,1.15,49.06,28.4,5.93,1.28,3.22,123.66,31.42,311.37,17.52,567.24,159.32,29.4,651.63,77.43,208.02,Millets,45.24592721
Loamy,15.53,1.72,30.72,28.63,6.01,0.27,2.67,115.49,35.42,394.26,39.91,1377.81,65.8,13.24,998.51,30.45,726.04,Millets,44.82911965
Sandy,12.04,1.34,31.65,32.89,5.59,0.46,2.8,335.9,49.11,152.49,45.63,1969.48,224.91,11.63,1462.49,54.07,243.91,Vegetables,58.54143333
Clayey,38.18,1.27,40.2,34.99,4.96,2.1,0.95,249.12,24.77,112.5,31.17,1057.12,129.65,38.51,227.82,36.06,292.09,Millets,30.42639629
Sandy,29.85,1.37,36.09,39.95,7.42,0.43,2.77,54.37,39.61,62.3,58.14,1413.24,239.37,33.86,983.86,78.54,506.56,Millets,35.8684428
Loamy,14.53,1.34,46.9,22.09,7.28,1.9,2.26,277.78,32.08,59.35,32.04,682.81,234.32,10.25,613.09,55.97,496.52,Wheat,38.79751161
Loamy,31.27,1.63,48.12,25.66,7.33,1.14,1.73,344.62,44.78,182.11,55.32,301.73,226.08,23.51,447.86,46.55,403.67,Wheat,52.95150951
Sandy,15.31,1.61,34.57,17.16,5.4,1.13,1.53,441.05,29.88,385.13,43.76,830.25,380.96,12.68,887.24,60.68,642.53,Millets,58.27361907
Loamy,20.39,1.68,42.77,29.35,6.05,0.18,1.89,289.48,22,214.45,56.41,1156.7,395.25,14.62,593.39,86.72,283.82,Millets,47.32430445
Clayey,5.42,1.47,46.96,30.29,7.8,0.45,1.49,212.74,17.85,60.15,28.24,1036,102.96,30.04,1313.07,72.67,121.24,Millets,24.4676373
Loamy,18.81,1.56,36.02,23.06,7.86,0.37,1.56,377.4,32.44,174.14,10.69,1007.19,240.32,16.57,465.33,36.63,621.79,Millets,44.04777115
Clayey,13.5,1.12,37.31,32.73,7.13,0.18,2.65,93.3,46.08,382.9,33.43,1703.1,379.61,33.2,335.1,59.84,439.96,Corn,63.23713023
Loamy,7.64,1.2,44.15,25.84,6.61,2,1.63,489.2,47.22,385.61,36,1535.89,254.73,16.01,606.08,36.48,292.73,Wheat,81.97970516
Clayey,10.54,1.22,49.94,42.77,4.71,1.76,1.59,468.27,31.58,83.21,14.43,1153.3,115.34,25.04,1186.86,80.98,571.49,Millets,52.79840991
Loamy,33.77,1.56,32.26,23.6,5.58,1.07,0.61,130.98,12.35,380.28,54.52,1788.3,132.46,16.19,817.41,32.13,770.57,Millets,30.10838634
Sandy,17.35,1.21,49.6,36.54,6.1,1.51,1.82,91.1,25.07,395.75,51.84,1773.24,65.81,22.81,1023.77,45.87,617.67,Peanuts,50.50457648
Loamy,22.38,1.66,41.72,41.46,7.69,1.9,0.36,321.65,19.05,107.69,13.97,1756.52,222.76,16.95,497.89,52.08,437.93,Millets,43.40920069
Clayey,12.75,1.12,37.3,29.17,7.25,0.74,0.31,291.39,26.29,374.63,40.35,152.15,259.61,19.78,596.44,83.42,620.5,Millets,43.27748499
Sandy,6.19,1.28,40.77,34.68,6.95,0.83,1.11,465.75,19.52,80.2,48.6,1117.83,308.54,19.39,998.42,88.76,453.64,Millets,46.91195729
Loamy,23.2,1.43,31.22,36.98,6.98,1.84,2.1,137.01,26.61,224.71,26.83,116.39,355,36.62,629.25,80.59,443.1,Millets,36.82052169
Clayey,8.57,1.16,36.06,49.88,7.6,1.43,3.18,105.6,11.49,200.12,50.92,985.85,262.04,22.99,241.35,83.09,368.66,Millets,37.32281731
Clayey,37.2,1.19,39.05,34.45,5.96,1.32,1.48,479.54,8.2,207.06,13.41,656.32,479.37,32.4,898.93,81.93,247.45,Millets,49.9384918
Loamy,5.29,1.53,34.82,49.17,5.21,1.38,3.01,474.26,35.61,144.41,41.24,712.56,355.48,29.99,401.47,84.95,284.11,Vegetables,64.04634854
Clayey,10.85,1.24,40,29.82,6.76,0.37,2.44,152.73,34.15,115.3,50.78,841.19,139.25,39.22,1419.5,61.4,481.57,Millets,32.61582096
Loamy,24.13,1.2,32.25,40.92,5.33,0.65,3.33,273.35,43.27,293.31,56.2,626.12,252.3,10.11,1498.53,60,501.05,Millets,57.1193588
Clayey,14.31,1.63,47.7,31.33,7.32,1.03,1.52,53.96,18.87,338.5,32.05,1992.7,391.93,27.67,1056.21,60.67,766.02,Millets,49.38000607
Clayey,36.9,1.25,41.76,38.66,5.09,0.79,1.89,412.69,42.58,397.5,21.58,1398.78,136.88,24.06,402.15,48.98,242.97,Corn,71.37018323
Loamy,7.08,1.23,42.37,30.46,8.22,0.27,2.56,135.74,49.68,223.18,28.32,1432.26,80.39,18.07,479.3,73.8,295.57,Millets,47.01537241
Loamy,14.9,1.54,48.69,41.81,5.53,0.65,1.42,443.4,8.64,235.2,50.03,1198.76,429.37,23.12,696.21,46.15,397.73,Millets,57.20608073
Clayey,19.34,1.31,35.23,36.71,5.06,0.29,1.05,265.87,38.18,205.68,28.18,622.21,345.21,10.4,481.95,71.48,370.07,Millets,42.56389394
Sandy,10.02,1.78,39.09,48.8,5.78,1.85,2.05,69.43,12.77,247.1,47.61,890.62,112.41,26.06,428.76,75.79,796.48,Peanuts,31.80193914
Clayey,12.93,1.66,37.38,11.02,6.84,2.16,3.13,431.92,27.74,298.55,56.49,1649.7,237.64,33.46,300.49,73.69,277.11,Vegetables,62.25727279
Sandy,26.76,1.42,41.46,20.5,4.77,0.54,2.7,397.26,8.04,366.22,21.42,957.7,295.72,18.1,1258.62,34.89,274.15,Vegetables,47.77297135
Loamy,6.09,1.43,45.41,47.75,8.18,2.49,0.9,107.71,29.84,145.53,41.75,823.42,483.97,35.04,1150.96,84.35,363.09,Millets,44.26050637
Sandy,8.01,1.29,31.97,35.2,8.25,1,1.78,453.58,5.23,378.93,47.84,1526.45,213.83,23.93,1318.51,31.79,681.21,Millets,53.60258955
Clayey,21.91,1.44,41.38,46.27,7.22,1.83,3.34,445.36,24.47,370.26,22.84,778.59,342.88,37.65,320.97,44.97,752.85,Vegetables,77.75831826
Clayey,37.74,1.76,36.15,32.8,7.15,1.41,1.75,291.12,9.3,325.09,37.31,1710.34,208.99,14.6,294.97,89,141.53,Millets,48.91074065
Loamy,35.01,1.51,37.26,17.62,5.44,2.44,0.26,369.22,45.18,159.16,53.44,695.22,266.86,11.53,245.88,47.36,161.54,Millets,43.27375244
Sandy,24.56,1.73,45.82,45.13,5,0.94,1.35,321.69,38.36,175.1,48.71,110.85,253.22,23.17,1287.64,74.92,489.02,Millets,48.74287979
Sandy,15.17,1.77,46.85,18.5,8.39,1.19,1.42,485.77,22,295.4,55.44,1698.26,278.21,13.14,1289.72,47.81,318.34,Millets,60.80235999
Clayey,23.25,1.65,42.59,37.52,8.1,1.89,2.23,78.35,41.24,241.67,49.16,450.68,228.37,10,1325.02,69.96,735.2,Millets,43.68592914
Sandy,19.05,1.27,40.29,20.61,5.89,0.36,0.3,246.82,12.78,247.83,54.57,1229.01,484.43,29.07,409.39,52.01,740.58,Millets,34.75222099
Clayey,24.81,1.33,49.98,18.9,5.28,1.64,2.86,380.42,32.06,57.58,6.92,1856.25,414.75,13.34,840.34,52.92,270.78,Vegetables,54.90974643
Sandy,19.64,1.68,42.97,11.24,8.1,1.07,0.83,127.52,33.19,114.78,10.98,347.76,304,15.71,301.28,75.17,508.07,Millets,20.50500587
Sandy,16.55,1.67,45.44,33.34,5.28,1.97,2.4,206.82,37.51,80.95,39.05,773.36,353.04,25.07,638.19,87.24,679.16,Millets,43.71235371
Loamy,25.66,1.75,41.6,25.54,8.11,2.01,1.49,468.41,12.72,327.84,40.31,161.27,182.12,29.93,418.08,51.92,311.18,Millets,47.60353052
Clayey,13.61,1.1,36.52,20.46,5.31,0.89,0.78,419.31,27.38,202.79,52.88,1239.13,491.27,35.81,881.7,89.53,700.91,Millets,48.35865003
Sandy,23.03,1.27,39.15,44.06,6.44,2.28,1.53,335,27.12,70.82,58.63,271.16,333.03,37.78,1048.1,38.92,375.05,Millets,42.9978404
Sandy,36.41,1.79,40.28,34.59,6.54,0.83,3.21,335,7.66,353.92,6.62,1392.95,59.8,26.73,1472.41,50.93,761.03,Sugarcane,52.0127298
Sandy,24.86,1.63,36.47,35.02,8.5,0.57,0.77,488.31,40.49,280.43,36.87,1937.86,495.28,31.49,858.5,76.7,381.55,Millets,74.52319077
Sandy,36.79,1.46,48.86,13.81,6.96,0.3,1.91,311.02,37.45,253.39,54.98,1286.62,320.74,15.07,877.56,79.16,513.04,Millets,55.87884487
Sandy,24.09,1.57,39.19,40.17,7.52,2.39,2.82,129.6,7.76,272.04,46.08,118.64,283.78,35.75,503.03,54.21,448.57,Millets,35.15951176
Loamy,18.9,1.3,48.26,37.96,6.29,2.17,2.59,410.03,37.18,202.57,8.13,1476.99,155.67,28.46,537.72,49.19,421.89,Vegetables,67.74695197
Sandy,24.29,1.65,40.39,38.83,4.53,2.49,1.9,419.59,16.06,203.03,21.01,384.93,73.6,25.32,770.54,74.15,121.1,Millets,40.7399575
Loamy,37.73,1.49,42.51,17.59,6.03,0.39,0.26,427.15,14.03,166.83,50.62,244.52,347.81,36.32,1488.21,64.26,477.7,Sugarcane,31.50302919
Sandy,21.95,1.45,46.87,47.72,5.55,0.31,0.31,130.81,28.08,130.27,38.18,467.92,68.77,25.66,1256.89,47.87,193.06,Peanuts,25.41799197
Clayey,20.42,1.23,46.03,48.15,5.61,0.15,2.44,313.12,27.63,52.17,10.08,1818.62,76.61,18.44,932.58,69,505.4,Millets,46.08995306
Clayey,30.63,1.17,49,44.46,5.28,0.21,1.94,53.53,39.62,244.53,26.57,1500.75,489.9,23.25,240.53,40.42,233.33,Millets,54.43968299
Sandy,15.75,1.12,48.23,14.06,7.87,0.7,1.8,453.1,44.64,141.43,53.34,1208.72,301.2,15.56,1435.31,52.3,110.39,Millets,57.28368316
Loamy,15.44,1.48,43.69,11.48,5.82,1.59,3.38,221.49,8.05,208.81,56.79,336.01,83.26,37.95,1139.64,74.91,481.54,Millets,22.58710623
Clayey,38.42,1.69,39.78,21.11,5.16,2.17,2.47,419.1,10.67,354.9,9.45,475.82,103.37,39.8,858,53.89,513.43,Millets,44.44662001
Clayey,38.2,1.61,46.98,27.32,5.31,2.3,1.44,231.59,34.63,212.54,47.97,1629.8,259.39,17.16,442.37,66.62,437.25,Millets,50.52071049
Sandy,27.82,1.64,31.62,25.15,6.01,2,0.28,102.5,20.3,240.63,29.35,114.09,477,32.22,573.78,37.46,417.35,Peanuts,23.91763087
Sandy,11.68,1.42,37.65,17.04,6.13,0.69,2.9,492.79,5.5,285.67,55,1333.13,489.1,13.19,796.95,43.5,428.92,Vegetables,55.8581667
Clayey,37.4,1.12,47.7,37.15,7.27,1.12,2.91,123.17,14.39,284.17,16.5,1548.44,152.85,24.29,837.18,45.03,495.2,Millets,44.93219472
Clayey,24.74,1.79,49.55,24.17,6.38,2.44,0.3,295.04,15.39,259.85,30.02,1046.12,425.87,12.13,478.18,80.4,584.03,Millets,47.63653208
Sandy,31.85,1.79,38.95,42.56,7.06,0.18,1.65,77.83,17.64,371.2,54.88,1722.41,248.9,17.07,578.04,36.79,386,Millets,47.38201076
Loamy,7.93,1.29,47.76,10.96,7.14,1.73,1.33,195.15,49.89,277.49,21.34,1416.75,341.17,17.01,1002.23,37.64,712.31,Millets,56.2936596
Sandy,6.66,1.18,32.96,39.59,6.45,1.68,2.76,263.43,19.53,271.1,43.97,1654.97,455.28,25.25,415.82,35.09,200.97,Millets,57.86437695
Sandy,10.88,1.29,43.8,16.85,7.03,0.6,2.1,313.1,13.06,263.41,42.24,1333.04,273.46,26.93,1176.67,63.13,646.59,Millets,43.75131491
Clayey,35.52,1.45,32.33,22.89,6.59,2.4,3.42,79.09,7.18,314.08,27.4,1822.3,72.99,31.39,621.11,51.41,779.5,Millets,32.4648137
Sandy,29.42,1.32,47.94,22.39,8.2,1.71,3.18,154.53,49.94,222.85,39.73,210,120.25,32.29,859.24,33.9,662.09,Millets,45.11558783
Clayey,36.2,1.68,49.13,33.35,6.38,1.87,3.45,473.59,46.74,143.51,5.5,1973.76,432.9,34.93,821.93,65.7,235.4,Vegetables,84.64538697
Clayey,32.05,1.43,39.52,19.2,7.86,0.84,3.34,435.32,45.97,319.67,43.43,1294.65,261.91,39.26,1255.65,85.32,131.19,Rice,71.34644456
Sandy,11.98,1.5,37.22,11.81,6,1.15,2.99,412.04,29.5,109.8,52.34,1526.74,132.25,28.44,1149.01,60.06,624.22,Vegetables,42.87463627
Sandy,13.63,1.65,38.1,22.52,5.68,2.22,0.9,393.53,6.85,381.09,7.75,1769.27,393.75,37.25,235.75,84.61,168.66,Millets,54.55708879
Sandy,17.84,1.55,38.57,48.59,8.12,1.06,1.75,100.86,42.44,166.79,54.11,1459.29,64.98,11.96,1398.08,42.79,430.99,Millets,42.80709879
Loamy,22.1,1.32,36.94,40.21,6.35,1.83,1.06,413.18,23.32,332.01,29.1,427.77,242.94,18.2,661.46,60.76,148.52,Millets,55.3808976
Loamy,22.12,1.7,41.63,10.14,5.41,0.19,0.45,275.33,10.47,338.89,24.98,1195.9,139.11,36.4,961.8,62.53,452.82,Millets,28.07365909
Loamy,13.91,1.28,35.39,29.3,5.24,0.25,3.39,74.23,38.98,111.11,22.39,249.08,205.58,35.53,570.3,32.01,714.98,Millets,25.18217211
Sandy,26.82,1.71,39.98,35.87,7.45,1.23,1.83,326.23,16,113.49,23.13,1711.64,263.24,38.45,1191.9,67.11,607.23,Millets,44.7481159
Loamy,30.18,1.29,45.98,29.06,7.42,2.16,2.75,433.82,44.08,333.65,49.19,1731.34,320.99,10.76,630.27,87.29,656.49,Wheat,83.05731227
Sandy,25.56,1.24,38.9,48.95,6.49,0.82,2.66,253.25,9.49,208.01,14.47,1766.16,62.09,16.07,886.39,36.33,763.56,Millets,43.81121712
Sandy,23.87,1.4,38.12,33.18,7.79,1.94,0.92,274.28,34.1,152.1,49.37,1952.93,353.14,13.93,1197.04,36.64,192.93,Millets,51.65550717
Loamy,23.98,1.11,46.99,31.71,5.57,1.7,2.64,462.97,45.72,251.36,29.19,1688,186.9,29.13,1386.91,51.31,373.69,Vegetables,74.40179062
Clayey,26.89,1.17,41.54,18.35,5.29,1.31,2.6,236.46,15.62,68.89,14.94,151.81,356.4,30.18,1132.72,87.69,420.81,Millets,21.4265657
Clayey,14.63,1.38,43.5,46.39,7.75,0.77,1.15,440.35,42.52,151.76,8.03,1646.52,400.82,26.9,490.49,82.52,468.64,Millets,70.85518283
Loamy,36.49,1.56,36.16,29.5,6.5,1.92,3.34,307.86,13.11,213.13,11.04,1440.08,200.33,18.37,338.26,63.63,559.17,Wheat,46.43606844
Loamy,25.82,1.56,44.88,36.97,5.65,2.02,0.45,429.74,31.68,54.47,48.97,253.08,419.98,23.29,1348.22,55.61,747.6,Millets,46.24353147
Sandy,38.54,1.79,46.32,11.12,6.62,0.55,0.9,493.71,24.65,147.96,13.27,465.78,481.44,19.02,766.63,49.37,434.21,Millets,47.63731067
Sandy,24.06,1.26,37.1,35.74,5.61,0.93,1.84,445.56,6.48,314.51,53.86,1823.21,231.67,23.84,1221.11,82.86,501.04,Millets,54.26334904
Loamy,18.31,1.29,39.26,36.34,5.05,0.7,0.51,116.32,18.51,265.9,48.03,1969.3,463.1,31.36,1438.72,30.81,537.61,Millets,40.14560671
Sandy,36.37,1.11,35,14.11,6.22,1.27,2.65,89.88,27.8,92.02,49.98,1049.71,235.45,11.31,221.45,67.75,329.53,Peanuts,20.727218
Clayey,9.3,1.68,32.52,47.29,5.98,1.39,0.63,478.08,17.83,188.01,9.27,1419.99,486.61,18.77,1113.04,84.42,331.1,Millets,59.05883916
Sandy,35.85,1.28,33.71,19.07,8.5,0.29,2.62,279.16,26.43,68.24,16.17,274.01,70.45,17.32,1335.9,30.21,150.74,Sugarcane,18.64649522
Clayey,28.72,1.26,32.24,46.38,8.34,2.47,1.31,264.17,23.92,207.21,13.04,990.11,323.3,38.94,612.4,77.28,484.88,Millets,45.65954472
Sandy,17.08,1.78,36.91,22.05,5.48,2.02,2.74,84.69,19.41,304.84,8.76,571.04,451.63,30.78,1327.84,79.11,777.36,Peanuts,36.58274696
Clayey,5.18,1.61,31.94,12,4.9,0.12,1.57,112.36,39.06,95.6,46.38,525.8,436.1,38.39,292.08,70.78,596.24,Millets,19.83264402
Clayey,33.35,1.61,42.45,37.96,6.24,1.25,3.31,419.71,26.61,364.82,21.4,1074.72,78.51,35.23,578.72,59.38,581.55,Vegetables,67.30366418
Loamy,5.47,1.54,47.41,30.62,8.16,2.21,0.24,180.39,44.44,310.57,14.94,801.32,149.94,36.38,1338.63,44.44,109.82,Corn,48.64559354
Clayey,34.47,1.42,48.2,36.25,4.71,0.56,0.9,362.14,6.79,51.71,29.81,1649.95,265.48,26.89,614.52,75.61,607.38,Millets,32.8213364
Loamy,26.82,1.68,49.76,19.99,5.9,1.91,0.88,455.46,28.74,82.38,55.17,304.92,491.7,22.32,647.15,35.36,525.37,Millets,47.70575574
